"name","required","dimensions","dimnames","bmtype","units","long_name","dtype","sumtype","inwc","insed","dissol","decay","partic","fill.value","passive","svel","xvel","psize","b_dens","i_conc","f_conc","wc.hor.pattern","wc.ver.pattern","sediment","wc.hor.scalar"
"benthic_microflora_N",FALSE,2,"[ z b ]","tracer","mg N m-3","benthic_microflora Nitrogen",0,1,0,1,0,0,1,100,1,0,0,1e-05,1000000000,200000000,200000000,"custom","uniform",0,0
"meiofauna_N",FALSE,2,"[ z b ]","tracer","mg N m-3","meiofauna Nitrogen",0,1,0,1,0,0,1,0,0,0,0,0.001,1000000000,200000000,200000000,"custom","uniform",0,0
"micro_zoo_N",FALSE,2,"[ z b ]","tracer","mg N m-3","micro_zoo Nitrogen",0,1,1,0,0,0,1,0,1,0,0,1e-05,1000000000,200000000,200000000,"custom","uniform",0,0
"meso_zoo_N",FALSE,2,"[ z b ]","tracer","mg N m-3","meso_zoo Nitrogen",0,1,1,0,0,0,1,0,1,0,0,0.001,1000000000,200000000,200000000,"custom","uniform",0,0
"planktonic_microflora_N",FALSE,2,"[ z b ]","tracer","mg N m-3","planktonic_microflora Nitrogen",0,1,1,0,0,0,1,0.02,1,0,0,1e-05,1000000000,200000000,200000000,"custom","uniform",0,0
"diatoms_N",FALSE,2,"[ z b ]","tracer","mg N m-3","diatoms Nitrogen",0,1,1,1,0,0,1,0,1,-2.89e-06,0,1e-05,1000000000,200000000,200000000,"custom","uniform",0,0
"diatoms_S",FALSE,2,"[ z b ]","tracer","mg Si m-3","diatoms Silicon",0,1,1,1,0,0,1,0,1,-2.89e-06,0,1e-05,1000000000,200000000,200000000,"constant","uniform",0,0
"Light_Adaptn_PHD",FALSE,2,"[ z b ]","tracer","PSU","Light adaption of diatoms",0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"other_phytoplankton_N",FALSE,2,"[ z b ]","tracer","mg N m-3","other_phytoplankton Nitrogen",0,1,1,1,0,0,1,0,1,0,0,1e-05,1000000000,200000000,200000000,"custom","uniform",0,0
"Light_Adaptn_PHO",FALSE,2,"[ z b ]","tracer","PSU","Light adaption of other_phytoplankton",0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"labile_detritus_N",FALSE,2,"[ z b ]","tracer","mg N m-3","labile_detritus Nitrogen",0,1,1,1,0,0,1,2,1,-3.47e-06,0,1e-05,1000000000,200000000,200000000,"custom","uniform",0,0
"refractory_detritus_N",FALSE,2,"[ z b ]","tracer","mg N m-3","refractory_detritus Nitrogen",0,1,1,1,0,1e-07,1,2000,1,-2.31e-06,0,1e-05,1000000000,200000000,200000000,"custom","uniform",0,0
"carrion_N",FALSE,2,"[ z b ]","tracer","mg N m-3","carrion Nitrogen",0,1,1,1,0,0,1,0,0,-3.47e-05,0,1e-05,1000000000,200000000,200000000,"custom","uniform",0,0
"baleen_whales_N",FALSE,2,"[ z b ]","tracer","mg N m-3","baleen_whales total N",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"baleen_whales1_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of baleen_whales cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"baleen_whales2_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of baleen_whales cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"baleen_whales3_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of baleen_whales cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"baleen_whales4_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of baleen_whales cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"baleen_whales5_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of baleen_whales cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"baleen_whales6_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of baleen_whales cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"baleen_whales1_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for baleen_whales cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",5595521.79,5595521.79
"baleen_whales2_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for baleen_whales cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",10753680.28,10753680.28
"baleen_whales3_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for baleen_whales cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",13769773.14,13769773.14
"baleen_whales4_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for baleen_whales cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",15226742.4,15226742.4
"baleen_whales5_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for baleen_whales cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",15881673.82,15881673.82
"baleen_whales6_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for baleen_whales cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",16167604.2,16167604.2
"baleen_whales1_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for baleen_whales cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",14828132.73,14828132.73
"baleen_whales2_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for baleen_whales cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",28497252.7,28497252.7
"baleen_whales3_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for baleen_whales cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",36489898.78,36489898.78
"baleen_whales4_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for baleen_whales cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",40350867.3,40350867.3
"baleen_whales5_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for baleen_whales cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",42086435.56,42086435.56
"baleen_whales6_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for baleen_whales cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",42844151.07,42844151.07
"toothed_whales_N",FALSE,2,"[ z b ]","tracer","mg N m-3","toothed_whales total N",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"toothed_whales1_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of toothed_whales cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"toothed_whales2_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of toothed_whales cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"toothed_whales3_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of toothed_whales cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"toothed_whales4_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of toothed_whales cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"toothed_whales1_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for toothed_whales cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",41882.32,41882.32
"toothed_whales2_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for toothed_whales cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",78988.14,78988.14
"toothed_whales3_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for toothed_whales cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",84071.22,84071.22
"toothed_whales4_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for toothed_whales cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",84613.4,84613.4
"toothed_whales1_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for toothed_whales cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",110988.15,110988.15
"toothed_whales2_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for toothed_whales cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",209318.56,209318.56
"toothed_whales3_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for toothed_whales cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",222788.74,222788.74
"toothed_whales4_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for toothed_whales cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",224225.52,224225.52
"seals_N",FALSE,2,"[ z b ]","tracer","mg N m-3","seals total N",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"seals1_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of seals cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"seals2_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of seals cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"seals3_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of seals cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"seals4_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of seals cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"seals5_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of seals cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"seals1_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for seals cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",88333.03,88333.03
"seals2_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for seals cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",317338.88,317338.88
"seals3_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for seals cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",484973.32,484973.32
"seals4_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for seals cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",569823.35,569823.35
"seals5_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for seals cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",607849.58,607849.58
"seals1_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for seals cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",234082.53,234082.53
"seals2_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for seals cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",840948.02,840948.02
"seals3_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for seals cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",1285179.31,1285179.31
"seals4_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for seals cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",1510031.86,1510031.86
"seals5_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for seals cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",1610801.39,1610801.39
"seabirds_N",FALSE,2,"[ z b ]","tracer","mg N m-3","seabirds total N",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"seabirds1_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of seabirds cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"seabirds2_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of seabirds cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"seabirds3_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of seabirds cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"seabirds4_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of seabirds cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"seabirds5_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of seabirds cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"seabirds6_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of seabirds cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"seabirds1_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for seabirds cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",480.65,480.65
"seabirds2_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for seabirds cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",961.31,961.31
"seabirds3_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for seabirds cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",1441.96,1441.96
"seabirds4_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for seabirds cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",1922.61,1922.61
"seabirds5_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for seabirds cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",2403.27,2403.27
"seabirds6_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for seabirds cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",2883.92,2883.92
"seabirds1_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for seabirds cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",1273.73,1273.73
"seabirds2_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for seabirds cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",2547.46,2547.46
"seabirds3_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for seabirds cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",3821.2,3821.2
"seabirds4_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for seabirds cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",5094.93,5094.93
"seabirds5_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for seabirds cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",6368.66,6368.66
"seabirds6_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for seabirds cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",7642.39,7642.39
"piscivorous_sharks_N",FALSE,2,"[ z b ]","tracer","mg N m-3","piscivorous_sharks total N",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"piscivorous_sharks1_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of piscivorous_sharks cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"piscivorous_sharks2_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of piscivorous_sharks cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"piscivorous_sharks3_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of piscivorous_sharks cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"piscivorous_sharks4_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of piscivorous_sharks cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
